full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,45763,45763,3193,102,102,9,https://github.com/anthropics/claude-code
shareAI-lab/analysis_claude_code,11609,11609,3021,7,7,0,https://github.com/shareAI-lab/analysis_claude_code
musistudio/claude-code-router,23351,23351,1827,47,47,2,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,18044,18044,1019,57,57,2,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,12521,12521,1092,19,19,0,https://github.com/davila7/claude-code-templates
anthropics/claude-code-action,4340,4340,1277,16,16,-1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,7650,7650,1008,11,11,2,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,5807,5807,626,33,33,2,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3259,3259,490,10,10,1,https://github.com/OneRedOak/claude-code-workflows
kodu-ai/claude-coder,5297,5297,202,0,0,0,https://github.com/kodu-ai/claude-coder
1rgs/claude-code-proxy,2610,2610,357,9,9,0,https://github.com/1rgs/claude-code-proxy
Yuyz0112/claude-code-reverse,1808,1808,323,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,5893,5893,288,7,7,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,1948,1948,424,3,3,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,2749,2749,243,3,3,0,https://github.com/zebbern/claude-code-guide
Cranot/claude-code-guide,2198,2198,244,2,2,0,https://github.com/Cranot/claude-code-guide
eyaltoledano/claude-task-master,24252,24252,2352,19,19,0,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-code-base-action,534,534,600,0,0,0,https://github.com/anthropics/claude-code-base-action
fuergaosi233/claude-code-proxy,1751,1751,237,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
Pimzino/claude-code-spec-workflow,3202,3202,233,9,9,-1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,22635,22635,2518,45,45,1,https://github.com/wshobson/agents
obra/superpowers,9629,9629,800,82,82,5,https://github.com/obra/superpowers
anthropics/claude-code-security-review,2701,2701,198,2,2,0,https://github.com/anthropics/claude-code-security-review
davepoon/claude-code-subagents-collection,2056,2056,231,-2,-2,0,https://github.com/davepoon/claude-code-subagents-collection
siteboon/claudecodeui,5023,5023,637,9,9,1,https://github.com/siteboon/claudecodeui
github/spec-kit,55252,55252,4797,158,158,18,https://github.com/github/spec-kit
https-deeplearning-ai/sc-claude-code-files,333,333,409,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
ghuntley/claude-code-source-code-deobfuscation,753,753,383,-1,-1,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1226,1226,206,1,1,0,https://github.com/lst97/claude-code-sub-agents
nishimoto265/Claude-Code-Communication,461,461,215,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1710,1710,167,-1,-1,0,https://github.com/rizethereum/claude-code-requirements-builder
feiskyer/claude-code-settings,884,884,147,13,13,0,https://github.com/feiskyer/claude-code-settings
anthropics/skills,20702,20702,1982,128,128,12,https://github.com/anthropics/skills
sugyan/claude-code-webui,741,741,164,2,2,0,https://github.com/sugyan/claude-code-webui
