full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,46029,46029,3217,150,150,10,https://github.com/anthropics/claude-code
shareAI-lab/analysis_claude_code,11624,11624,3023,6,6,0,https://github.com/shareAI-lab/analysis_claude_code
musistudio/claude-code-router,23448,23448,1834,55,55,6,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,18131,18131,1020,39,39,-1,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,12581,12581,1101,39,39,6,https://github.com/davila7/claude-code-templates
anthropics/claude-code-action,4358,4358,1277,10,10,-2,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,7688,7688,1011,21,21,3,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,5873,5873,631,29,29,2,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3269,3269,491,5,5,0,https://github.com/OneRedOak/claude-code-workflows
kodu-ai/claude-coder,5296,5296,202,-1,-1,0,https://github.com/kodu-ai/claude-coder
1rgs/claude-code-proxy,2622,2622,360,11,11,1,https://github.com/1rgs/claude-code-proxy
Maciek-roboblog/Claude-Code-Usage-Monitor,5913,5913,287,7,7,-1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,1812,1812,324,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
disler/claude-code-hooks-mastery,1956,1956,425,7,7,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,2763,2763,244,8,8,1,https://github.com/zebbern/claude-code-guide
eyaltoledano/claude-task-master,24280,24280,2354,12,12,0,https://github.com/eyaltoledano/claude-task-master
Cranot/claude-code-guide,2205,2205,244,2,2,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,534,534,598,0,0,-2,https://github.com/anthropics/claude-code-base-action
fuergaosi233/claude-code-proxy,1755,1755,238,4,4,1,https://github.com/fuergaosi233/claude-code-proxy
Pimzino/claude-code-spec-workflow,3209,3209,234,5,5,0,https://github.com/Pimzino/claude-code-spec-workflow
obra/superpowers,9893,9893,824,155,155,14,https://github.com/obra/superpowers
wshobson/agents,22827,22827,2540,88,88,11,https://github.com/wshobson/agents
anthropics/claude-code-security-review,2709,2709,200,7,7,2,https://github.com/anthropics/claude-code-security-review
davepoon/claude-code-subagents-collection,2063,2063,231,6,6,0,https://github.com/davepoon/claude-code-subagents-collection
siteboon/claudecodeui,5042,5042,640,12,12,4,https://github.com/siteboon/claudecodeui
github/spec-kit,55642,55642,4843,224,224,27,https://github.com/github/spec-kit
https-deeplearning-ai/sc-claude-code-files,334,334,410,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
ghuntley/claude-code-source-code-deobfuscation,753,753,386,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1231,1231,206,3,3,0,https://github.com/lst97/claude-code-sub-agents
nishimoto265/Claude-Code-Communication,462,462,218,0,0,1,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1711,1711,167,1,1,0,https://github.com/rizethereum/claude-code-requirements-builder
feiskyer/claude-code-settings,907,907,148,16,16,1,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,742,742,163,0,0,-1,https://github.com/sugyan/claude-code-webui
anthropics/skills,21157,21157,2030,279,279,31,https://github.com/anthropics/skills
